ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName
GO:0000077,DNA damage checkpoint,GO:0006974,cellular response to DNA damage stimulus,GO:0033554,cellular response to stress,GO:0006950,response to stress,GO:0050896,response to stimulus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000077,DNA damage checkpoint,GO:0006974,cellular response to DNA damage stimulus,GO:0033554,cellular response to stress,GO:0051716,cellular response to stimulus,GO:0009987,cellular process,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000077,DNA damage checkpoint,GO:0006974,cellular response to DNA damage stimulus,GO:0033554,cellular response to stress,GO:0051716,cellular response to stimulus,GO:0050896,response to stimulus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000077,DNA damage checkpoint,GO:0031570,DNA integrity checkpoint,GO:0000075,cell cycle checkpoint,GO:0009987,cellular process,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000077,DNA damage checkpoint,GO:0031570,DNA integrity checkpoint,GO:0000075,cell cycle checkpoint,GO:0045786,negative regulation of cell cycle,GO:0048523,negative regulation of cellular process,GO:0048519,negative regulation of biological process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000077,DNA damage checkpoint,GO:0031570,DNA integrity checkpoint,GO:0000075,cell cycle checkpoint,GO:0045786,negative regulation of cell cycle,GO:0048523,negative regulation of cellular process,GO:0050794,regulation of cellular process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000077,DNA damage checkpoint,GO:0031570,DNA integrity checkpoint,GO:0000075,cell cycle checkpoint,GO:0045786,negative regulation of cell cycle,GO:0051726,regulation of cell cycle,GO:0050794,regulation of cellular process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0071900,regulation of protein serine/threonine kinase activity,GO:0045859,regulation of protein kinase activity,GO:0001932,regulation of protein phosphorylation,GO:0031399,regulation of protein modification process,GO:0032268,regulation of cellular protein metabolic process,GO:0031323,regulation of cellular metabolic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0071900,regulation of protein serine/threonine kinase activity,GO:0045859,regulation of protein kinase activity,GO:0001932,regulation of protein phosphorylation,GO:0031399,regulation of protein modification process,GO:0032268,regulation of cellular protein metabolic process,GO:0031323,regulation of cellular metabolic process,GO:0050794,regulation of cellular process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0071900,regulation of protein serine/threonine kinase activity,GO:0045859,regulation of protein kinase activity,GO:0001932,regulation of protein phosphorylation,GO:0031399,regulation of protein modification process,GO:0032268,regulation of cellular protein metabolic process,GO:0051246,regulation of protein metabolic process,GO:0051171,regulation of nitrogen compound metabolic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0071900,regulation of protein serine/threonine kinase activity,GO:0045859,regulation of protein kinase activity,GO:0001932,regulation of protein phosphorylation,GO:0031399,regulation of protein modification process,GO:0032268,regulation of cellular protein metabolic process,GO:0051246,regulation of protein metabolic process,GO:0060255,regulation of macromolecule metabolic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0071900,regulation of protein serine/threonine kinase activity,GO:0045859,regulation of protein kinase activity,GO:0001932,regulation of protein phosphorylation,GO:0031399,regulation of protein modification process,GO:0032268,regulation of cellular protein metabolic process,GO:0051246,regulation of protein metabolic process,GO:0080090,regulation of primary metabolic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0071900,regulation of protein serine/threonine kinase activity,GO:0045859,regulation of protein kinase activity,GO:0001932,regulation of protein phosphorylation,GO:0042325,regulation of phosphorylation,GO:0019220,regulation of phosphate metabolic process,GO:0051174,regulation of phosphorus metabolic process,GO:0031323,regulation of cellular metabolic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0071900,regulation of protein serine/threonine kinase activity,GO:0045859,regulation of protein kinase activity,GO:0001932,regulation of protein phosphorylation,GO:0042325,regulation of phosphorylation,GO:0019220,regulation of phosphate metabolic process,GO:0051174,regulation of phosphorus metabolic process,GO:0031323,regulation of cellular metabolic process,GO:0050794,regulation of cellular process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0071900,regulation of protein serine/threonine kinase activity,GO:0045859,regulation of protein kinase activity,GO:0043549,regulation of kinase activity,GO:0042325,regulation of phosphorylation,GO:0019220,regulation of phosphate metabolic process,GO:0051174,regulation of phosphorus metabolic process,GO:0031323,regulation of cellular metabolic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0071900,regulation of protein serine/threonine kinase activity,GO:0045859,regulation of protein kinase activity,GO:0043549,regulation of kinase activity,GO:0042325,regulation of phosphorylation,GO:0019220,regulation of phosphate metabolic process,GO:0051174,regulation of phosphorus metabolic process,GO:0031323,regulation of cellular metabolic process,GO:0050794,regulation of cellular process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0071900,regulation of protein serine/threonine kinase activity,GO:0045859,regulation of protein kinase activity,GO:0043549,regulation of kinase activity,GO:0051338,regulation of transferase activity,GO:0050790,regulation of catalytic activity,GO:0065009,regulation of molecular function,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,GO:1904029,regulation of cyclin-dependent protein kinase activity,GO:0045859,regulation of protein kinase activity,GO:0001932,regulation of protein phosphorylation,GO:0031399,regulation of protein modification process,GO:0032268,regulation of cellular protein metabolic process,GO:0031323,regulation of cellular metabolic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,GO:1904029,regulation of cyclin-dependent protein kinase activity,GO:0045859,regulation of protein kinase activity,GO:0001932,regulation of protein phosphorylation,GO:0031399,regulation of protein modification process,GO:0032268,regulation of cellular protein metabolic process,GO:0031323,regulation of cellular metabolic process,GO:0050794,regulation of cellular process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,GO:1904029,regulation of cyclin-dependent protein kinase activity,GO:0045859,regulation of protein kinase activity,GO:0001932,regulation of protein phosphorylation,GO:0031399,regulation of protein modification process,GO:0032268,regulation of cellular protein metabolic process,GO:0051246,regulation of protein metabolic process,GO:0051171,regulation of nitrogen compound metabolic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,GO:1904029,regulation of cyclin-dependent protein kinase activity,GO:0045859,regulation of protein kinase activity,GO:0001932,regulation of protein phosphorylation,GO:0031399,regulation of protein modification process,GO:0032268,regulation of cellular protein metabolic process,GO:0051246,regulation of protein metabolic process,GO:0060255,regulation of macromolecule metabolic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,GO:1904029,regulation of cyclin-dependent protein kinase activity,GO:0045859,regulation of protein kinase activity,GO:0001932,regulation of protein phosphorylation,GO:0031399,regulation of protein modification process,GO:0032268,regulation of cellular protein metabolic process,GO:0051246,regulation of protein metabolic process,GO:0080090,regulation of primary metabolic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,GO:1904029,regulation of cyclin-dependent protein kinase activity,GO:0045859,regulation of protein kinase activity,GO:0001932,regulation of protein phosphorylation,GO:0042325,regulation of phosphorylation,GO:0019220,regulation of phosphate metabolic process,GO:0051174,regulation of phosphorus metabolic process,GO:0031323,regulation of cellular metabolic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,GO:1904029,regulation of cyclin-dependent protein kinase activity,GO:0045859,regulation of protein kinase activity,GO:0001932,regulation of protein phosphorylation,GO:0042325,regulation of phosphorylation,GO:0019220,regulation of phosphate metabolic process,GO:0051174,regulation of phosphorus metabolic process,GO:0031323,regulation of cellular metabolic process,GO:0050794,regulation of cellular process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
