ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName
GO:0000077,DNA damage checkpoint,GO:0006974,cellular response to DNA damage stimulus,GO:0033554,cellular response to stress,GO:0006950,response to stress,GO:0050896,response to stimulus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000077,DNA damage checkpoint,GO:0006974,cellular response to DNA damage stimulus,GO:0033554,cellular response to stress,GO:0051716,cellular response to stimulus,GO:0009987,cellular process,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000077,DNA damage checkpoint,GO:0006974,cellular response to DNA damage stimulus,GO:0033554,cellular response to stress,GO:0051716,cellular response to stimulus,GO:0050896,response to stimulus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000077,DNA damage checkpoint,GO:0031570,DNA integrity checkpoint,GO:0000075,cell cycle checkpoint,GO:0009987,cellular process,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000077,DNA damage checkpoint,GO:0031570,DNA integrity checkpoint,GO:0000075,cell cycle checkpoint,GO:0045786,negative regulation of cell cycle,GO:0048523,negative regulation of cellular process,GO:0048519,negative regulation of biological process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000077,DNA damage checkpoint,GO:0031570,DNA integrity checkpoint,GO:0000075,cell cycle checkpoint,GO:0045786,negative regulation of cell cycle,GO:0048523,negative regulation of cellular process,GO:0050794,regulation of cellular process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000077,DNA damage checkpoint,GO:0031570,DNA integrity checkpoint,GO:0000075,cell cycle checkpoint,GO:0045786,negative regulation of cell cycle,GO:0051726,regulation of cell cycle,GO:0050794,regulation of cellular process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000082,G1/S transition of mitotic cell cycle,GO:0044772,mitotic cell cycle phase transition,GO:0044770,cell cycle phase transition,GO:0022402,cell cycle process,GO:0009987,cellular process,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000082,G1/S transition of mitotic cell cycle,GO:0044772,mitotic cell cycle phase transition,GO:1903047,mitotic cell cycle process,GO:0022402,cell cycle process,GO:0009987,cellular process,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000082,G1/S transition of mitotic cell cycle,GO:0044843,cell cycle G1/S phase transition,GO:0044770,cell cycle phase transition,GO:0022402,cell cycle process,GO:0009987,cellular process,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000086,G2/M transition of mitotic cell cycle,GO:0044772,mitotic cell cycle phase transition,GO:0044770,cell cycle phase transition,GO:0022402,cell cycle process,GO:0009987,cellular process,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000086,G2/M transition of mitotic cell cycle,GO:0044772,mitotic cell cycle phase transition,GO:1903047,mitotic cell cycle process,GO:0022402,cell cycle process,GO:0009987,cellular process,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000086,G2/M transition of mitotic cell cycle,GO:0044839,cell cycle G2/M phase transition,GO:0044770,cell cycle phase transition,GO:0022402,cell cycle process,GO:0009987,cellular process,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000122,negative regulation of transcription by RNA polymerase II,GO:0006357,regulation of transcription by RNA polymerase II,GO:0006355,"regulation of transcription, DNA-templated",GO:0010468,regulation of gene expression,GO:0060255,regulation of macromolecule metabolic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000122,negative regulation of transcription by RNA polymerase II,GO:0006357,regulation of transcription by RNA polymerase II,GO:0006355,"regulation of transcription, DNA-templated",GO:1903506,regulation of nucleic acid-templated transcription,GO:2001141,regulation of RNA biosynthetic process,GO:0010556,regulation of macromolecule biosynthetic process,GO:0009889,regulation of biosynthetic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000122,negative regulation of transcription by RNA polymerase II,GO:0006357,regulation of transcription by RNA polymerase II,GO:0006355,"regulation of transcription, DNA-templated",GO:1903506,regulation of nucleic acid-templated transcription,GO:2001141,regulation of RNA biosynthetic process,GO:0010556,regulation of macromolecule biosynthetic process,GO:0060255,regulation of macromolecule metabolic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000122,negative regulation of transcription by RNA polymerase II,GO:0006357,regulation of transcription by RNA polymerase II,GO:0006355,"regulation of transcription, DNA-templated",GO:1903506,regulation of nucleic acid-templated transcription,GO:2001141,regulation of RNA biosynthetic process,GO:0031326,regulation of cellular biosynthetic process,GO:0009889,regulation of biosynthetic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000122,negative regulation of transcription by RNA polymerase II,GO:0006357,regulation of transcription by RNA polymerase II,GO:0006355,"regulation of transcription, DNA-templated",GO:1903506,regulation of nucleic acid-templated transcription,GO:2001141,regulation of RNA biosynthetic process,GO:0031326,regulation of cellular biosynthetic process,GO:0031323,regulation of cellular metabolic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000122,negative regulation of transcription by RNA polymerase II,GO:0006357,regulation of transcription by RNA polymerase II,GO:0006355,"regulation of transcription, DNA-templated",GO:1903506,regulation of nucleic acid-templated transcription,GO:2001141,regulation of RNA biosynthetic process,GO:0031326,regulation of cellular biosynthetic process,GO:0031323,regulation of cellular metabolic process,GO:0050794,regulation of cellular process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000122,negative regulation of transcription by RNA polymerase II,GO:0006357,regulation of transcription by RNA polymerase II,GO:0006355,"regulation of transcription, DNA-templated",GO:1903506,regulation of nucleic acid-templated transcription,GO:2001141,regulation of RNA biosynthetic process,GO:0051252,regulation of RNA metabolic process,GO:0019219,regulation of nucleobase-containing compound metabolic process,GO:0031323,regulation of cellular metabolic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000122,negative regulation of transcription by RNA polymerase II,GO:0006357,regulation of transcription by RNA polymerase II,GO:0006355,"regulation of transcription, DNA-templated",GO:1903506,regulation of nucleic acid-templated transcription,GO:2001141,regulation of RNA biosynthetic process,GO:0051252,regulation of RNA metabolic process,GO:0019219,regulation of nucleobase-containing compound metabolic process,GO:0031323,regulation of cellular metabolic process,GO:0050794,regulation of cellular process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000122,negative regulation of transcription by RNA polymerase II,GO:0006357,regulation of transcription by RNA polymerase II,GO:0006355,"regulation of transcription, DNA-templated",GO:1903506,regulation of nucleic acid-templated transcription,GO:2001141,regulation of RNA biosynthetic process,GO:0051252,regulation of RNA metabolic process,GO:0019219,regulation of nucleobase-containing compound metabolic process,GO:0051171,regulation of nitrogen compound metabolic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000122,negative regulation of transcription by RNA polymerase II,GO:0006357,regulation of transcription by RNA polymerase II,GO:0006355,"regulation of transcription, DNA-templated",GO:1903506,regulation of nucleic acid-templated transcription,GO:2001141,regulation of RNA biosynthetic process,GO:0051252,regulation of RNA metabolic process,GO:0019219,regulation of nucleobase-containing compound metabolic process,GO:0080090,regulation of primary metabolic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000122,negative regulation of transcription by RNA polymerase II,GO:0006357,regulation of transcription by RNA polymerase II,GO:0006355,"regulation of transcription, DNA-templated",GO:1903506,regulation of nucleic acid-templated transcription,GO:2001141,regulation of RNA biosynthetic process,GO:0051252,regulation of RNA metabolic process,GO:0060255,regulation of macromolecule metabolic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000122,negative regulation of transcription by RNA polymerase II,GO:0006357,regulation of transcription by RNA polymerase II,GO:0006355,"regulation of transcription, DNA-templated",GO:2000112,regulation of cellular macromolecule biosynthetic process,GO:0010556,regulation of macromolecule biosynthetic process,GO:0009889,regulation of biosynthetic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000122,negative regulation of transcription by RNA polymerase II,GO:0006357,regulation of transcription by RNA polymerase II,GO:0006355,"regulation of transcription, DNA-templated",GO:2000112,regulation of cellular macromolecule biosynthetic process,GO:0010556,regulation of macromolecule biosynthetic process,GO:0060255,regulation of macromolecule metabolic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
