Year,Age 0-14,Age 15-59,Age 60-74,Age 75+
1998,10739,272552,320171,187202
1999,11829,292994,341398,202040
2000,11479,280951,341671,206706
2001,12500,277064,336363,207706
2002,13842,273214,339030,217743
2003,18329,298028,361741,228269
2004,17358,308554,377732,237294
2005,19199,330106,408056,257044
2006,20024,344649,425591,266133
2007,21749,342917,441798,269023
2008,20343,341018,459235,283655
2009,17078,313697,452856,286208
2010,16834,320112,460619,292003
2011,19433,326603,477784,306902
2012,28530,365569,540517,356078
2013,27532,376309,550589,361818
2014,27745,383078,558551,369879
2015,29600,401768,581698,380537
2016,28564,410636,598113,386968
2017,30064,419154,613828,391310
2018,28063,434042,631564,410889
