Year,Age 0-14,Age 15-59,Age 60-74,Age 75+
1998,25,4909,19278,44558
1999,23,4523,17268,40781
2000,24,4488,15532,37842
2001,15,4501,14895,37715
2002,25,4052,13395,35665
2003,6,4129,12510,33329
2004,25,4236,11080,31036
2005,17,3834,10334,28398
2006,18,3565,8945,25484
2007,14,3145,7966,22109
2008,18,3079,7637,21530
2009,18,3189,7287,20710
2010,5,2860,6052,16607
2011,12,2342,4818,12966
2012,11,1919,4015,10793
2013,16,1721,3570,8864
2014,16,1538,3079,7894
2015,19,1426,2875,7361
2016,4,1218,2251,5473
2017,9,1033,1983,4757
2018,5,865,1649,3888
