Year,Age 0-14,Age 15-59,Age 60-74,Age 75+
1998,68,6046,10109,6627
1999,77,6519,10186,7181
2000,68,6930,10144,7538
2001,92,6578,9315,7631
2002,90,7195,9585,8285
2003,114,8176,10253,8923
2004,120,9206,11067,9825
2005,109,10147,11670,10146
2006,111,9980,11225,9639
2007,108,11000,12014,10298
2008,111,12638,13860,11401
2009,94,14162,14899,12458
2010,120,15586,16189,13655
2011,106,14890,14742,13469
2012,67,11503,11139,11413
2013,67,11128,10517,11315
2014,64,11413,10540,11860
2015,72,12459,12099,12976
2016,79,12732,12322,13707
2017,65,14174,13776,14297
2018,80,15062,15569,15827
