Threshold,N_features,Accuracy,Precision,Recall,F1_score,AUROC_score
0,1288,0.98,0.292,0.233,0.259,0.612
0.0001,432,0.978877,0.295755,0.282938,0.286857,0.636224
0.0002,431,0.979207,0.314226,0.307226,0.307641,0.648528
0.0003,425,0.979196,0.310686,0.302274,0.30445,0.645882
0.0004,413,0.978851,0.302489,0.304319,0.300957,0.646744
0.0005,399,0.978979,0.304458,0.296875,0.297937,0.643166
0.0006,383,0.979234,0.317723,0.312148,0.312553,0.650872
0.0007,364,0.97904,0.308408,0.297857,0.300306,0.643714
0.0008,345,0.979333,0.314166,0.302041,0.305541,0.645916
0.0009,327,0.978937,0.300229,0.298416,0.29752,0.643937
0.001,308,0.979466,0.321622,0.3054,0.310844,0.647688
0.0011,290,0.978897,0.303938,0.30351,0.301795,0.646367
0.0012,274,0.979086,0.308456,0.300456,0.302434,0.645065
0.0013,258,0.97917,0.315127,0.314,0.311893,0.651765
0.0014,242,0.97913,0.311826,0.310695,0.309891,0.65013
0.0015,230,0.979545,0.317363,0.301181,0.307181,0.645613
0.0016,215,0.979282,0.318804,0.311978,0.313282,0.650826
0.0017,203,0.979255,0.310209,0.300186,0.302744,0.644906
0.0018,193,0.979219,0.314682,0.307487,0.308804,0.648634
0.0019,183,0.979418,0.325744,0.33193,0.326139,0.660674
0.002,171,0.97954,0.327405,0.329729,0.326594,0.659648
0.0021,163,0.979368,0.310894,0.296842,0.300447,0.643368
0.0022,155,0.979472,0.324611,0.31675,0.317944,0.65325
0.0023,147,0.980277,0.336333,0.319583,0.325388,0.655
0.0024,140,0.979842,0.321289,0.303657,0.310105,0.646947
0.0025,133,0.980078,0.331657,0.307,0.317131,0.648631
0.0026,126,0.980486,0.345459,0.318216,0.328459,0.654432
0.0027,119,0.980305,0.339055,0.302805,0.316777,0.646833
0.0028,114,0.980457,0.335028,0.291828,0.309257,0.641485
0.0029,108,0.980382,0.323647,0.282,0.299117,0.636647
0.003,101,0.98047,0.334617,0.2845,0.304735,0.637823
0.0031,96,0.980258,0.327967,0.290451,0.306064,0.640645
0.0032,92,0.980441,0.333647,0.293676,0.310441,0.642411
0.0033,87,0.980812,0.346156,0.29275,0.313937,0.642062
0.0034,84,0.981419,0.353225,0.287,0.314161,0.639483
0.0035,81,0.980843,0.347968,0.296125,0.317437,0.643875
0.0036,76,0.981266,0.348366,0.272633,0.303866,0.632433
0.0037,72,0.981724,0.373413,0.315413,0.339689,0.653724
0.0038,68,0.981137,0.36062,0.305862,0.328206,0.648827
0.0039,67,0.982517,0.404551,0.308758,0.346482,0.650862
0.004,63,0.982241,0.401758,0.306,0.340931,0.649344
0.0041,59,0.981857,0.367892,0.28325,0.31775,0.637964
0.0042,57,0.981821,0.371071,0.295285,0.326285,0.643714
0.0043,54,0.981692,0.366153,0.279307,0.3135,0.635846
0.0044,53,0.982111,0.381481,0.278518,0.31974,0.63574
0.0045,51,0.98176,0.36852,0.2862,0.31984,0.63936
0.0046,50,0.981846,0.365384,0.273807,0.311038,0.633192
0.0047,46,0.981583,0.362875,0.267541,0.304958,0.630083
0.0048,44,0.982791,0.410666,0.291875,0.337916,0.642625
0.0049,42,0.982375,0.376083,0.261458,0.305833,0.6275
0.005,40,0.982739,0.395565,0.27513,0.323173,0.634391
0.0051,39,0.982045,0.376636,0.272045,0.313227,0.632454
0.0052,37,0.982227,0.370909,0.265136,0.305363,0.629227
0.0053,36,0.983333,0.423208,0.284666,0.336083,0.639291
0.0054,34,0.982521,0.396304,0.274086,0.321869,0.633826
0.0055,33,0.982863,0.411909,0.283409,0.331227,0.63859
0.0056,31,0.9832,0.4269,0.2738,0.33,0.63405
0.0057,29,0.982526,0.387315,0.244894,0.296263,0.619473
0.0058,27,0.983666,0.447611,0.296055,0.3515,0.645
0.0059,27,0.982894,0.41521,0.298578,0.344526,0.645947
0.006,26,0.982842,0.419052,0.303894,0.348315,0.648684
0.0061,24,0.983277,0.417055,0.284722,0.333388,0.639444
0.0062,23,0.9832,0.42225,0.2693,0.3262,0.6317
0.0063,23,0.98385,0.44245,0.2793,0.3406,0.63695
0.0064,21,0.982764,0.403823,0.262058,0.309647,0.628
0.0065,21,0.984222,0.464888,0.283222,0.349444,0.639
0.0066,19,0.984166,0.466,0.255666,0.324555,0.625444
0.0067,19,0.983833,0.439055,0.255166,0.321611,0.625055
0.0068,18,0.983842,0.446368,0.231842,0.300473,0.613578
0.0069,18,0.983888,0.441444,0.232055,0.299888,0.613722
0.007,18,0.983687,0.443937,0.241187,0.309687,0.618
0.0071,17,0.984411,0.484411,0.262411,0.334294,0.628941
0.0072,17,0.983875,0.457312,0.258875,0.323437,0.627
