Threshold, n_features, performance_score
Thresh=0.0000, n=2086, Accuracy: 0.849
Thresh=0.0000, n=2086, Precision: 0.082
Thresh=0.0000, n=2086, Recall: 0.844
Thresh=0.0000, n=2086, F1 score: 0.149
Thresh=0.0000, n=2086, AUROC score: 0.846
Thresh=0.0001, n=505, Accuracy: 0.865
Thresh=0.0001, n=505, Precision: 0.086
Thresh=0.0001, n=505, Recall: 0.781
Thresh=0.0001, n=505, F1 score: 0.154
Thresh=0.0001, n=505, AUROC score: 0.824
Thresh=0.0002, n=501, Accuracy: 0.870
Thresh=0.0002, n=501, Precision: 0.088
Thresh=0.0002, n=501, Recall: 0.781
Thresh=0.0002, n=501, F1 score: 0.159
Thresh=0.0002, n=501, AUROC score: 0.826
Thresh=0.0003, n=492, Accuracy: 0.863
Thresh=0.0003, n=492, Precision: 0.084
Thresh=0.0003, n=492, Recall: 0.781
Thresh=0.0003, n=492, F1 score: 0.152
Thresh=0.0003, n=492, AUROC score: 0.823
Thresh=0.0004, n=472, Accuracy: 0.860
Thresh=0.0004, n=472, Precision: 0.083
Thresh=0.0004, n=472, Recall: 0.781
Thresh=0.0004, n=472, F1 score: 0.149
Thresh=0.0004, n=472, AUROC score: 0.821
Thresh=0.0005, n=455, Accuracy: 0.859
Thresh=0.0005, n=455, Precision: 0.082
Thresh=0.0005, n=455, Recall: 0.781
Thresh=0.0005, n=455, F1 score: 0.148
Thresh=0.0005, n=455, AUROC score: 0.821
Thresh=0.0006, n=421, Accuracy: 0.867
Thresh=0.0006, n=421, Precision: 0.087
Thresh=0.0006, n=421, Recall: 0.781
Thresh=0.0006, n=421, F1 score: 0.156
Thresh=0.0006, n=421, AUROC score: 0.825
Thresh=0.0007, n=391, Accuracy: 0.871
Thresh=0.0007, n=391, Precision: 0.086
Thresh=0.0007, n=391, Recall: 0.750
Thresh=0.0007, n=391, F1 score: 0.155
Thresh=0.0007, n=391, AUROC score: 0.812
Thresh=0.0008, n=367, Accuracy: 0.868
Thresh=0.0008, n=367, Precision: 0.087
Thresh=0.0008, n=367, Recall: 0.781
Thresh=0.0008, n=367, F1 score: 0.157
Thresh=0.0008, n=367, AUROC score: 0.826
Thresh=0.0009, n=351, Accuracy: 0.872
Thresh=0.0009, n=351, Precision: 0.090
Thresh=0.0009, n=351, Recall: 0.781
Thresh=0.0009, n=351, F1 score: 0.161
Thresh=0.0009, n=351, AUROC score: 0.827
Thresh=0.0010, n=326, Accuracy: 0.875
Thresh=0.0010, n=326, Precision: 0.092
Thresh=0.0010, n=326, Recall: 0.781
Thresh=0.0010, n=326, F1 score: 0.164
Thresh=0.0010, n=326, AUROC score: 0.829
Thresh=0.0011, n=306, Accuracy: 0.877
Thresh=0.0011, n=306, Precision: 0.093
Thresh=0.0011, n=306, Recall: 0.781
Thresh=0.0011, n=306, F1 score: 0.166
Thresh=0.0011, n=306, AUROC score: 0.830
Thresh=0.0012, n=281, Accuracy: 0.872
Thresh=0.0012, n=281, Precision: 0.093
Thresh=0.0012, n=281, Recall: 0.812
Thresh=0.0012, n=281, F1 score: 0.167
Thresh=0.0012, n=281, AUROC score: 0.843
Thresh=0.0013, n=265, Accuracy: 0.880
Thresh=0.0013, n=265, Precision: 0.092
Thresh=0.0013, n=265, Recall: 0.750
Thresh=0.0013, n=265, F1 score: 0.164
Thresh=0.0013, n=265, AUROC score: 0.816
Thresh=0.0014, n=248, Accuracy: 0.876
Thresh=0.0014, n=248, Precision: 0.093
Thresh=0.0014, n=248, Recall: 0.781
Thresh=0.0014, n=248, F1 score: 0.166
Thresh=0.0014, n=248, AUROC score: 0.829
Thresh=0.0015, n=234, Accuracy: 0.867
Thresh=0.0015, n=234, Precision: 0.087
Thresh=0.0015, n=234, Recall: 0.781
Thresh=0.0015, n=234, F1 score: 0.156
Thresh=0.0015, n=234, AUROC score: 0.825
Thresh=0.0016, n=223, Accuracy: 0.876
Thresh=0.0016, n=223, Precision: 0.092
Thresh=0.0016, n=223, Recall: 0.781
Thresh=0.0016, n=223, F1 score: 0.165
Thresh=0.0016, n=223, AUROC score: 0.829
Thresh=0.0017, n=211, Accuracy: 0.877
Thresh=0.0017, n=211, Precision: 0.090
Thresh=0.0017, n=211, Recall: 0.750
Thresh=0.0017, n=211, F1 score: 0.161
Thresh=0.0017, n=211, AUROC score: 0.814
Thresh=0.0018, n=203, Accuracy: 0.880
Thresh=0.0018, n=203, Precision: 0.092
Thresh=0.0018, n=203, Recall: 0.750
Thresh=0.0018, n=203, F1 score: 0.164
Thresh=0.0018, n=203, AUROC score: 0.816
Thresh=0.0019, n=194, Accuracy: 0.875
Thresh=0.0019, n=194, Precision: 0.089
Thresh=0.0019, n=194, Recall: 0.750
Thresh=0.0019, n=194, F1 score: 0.159
Thresh=0.0019, n=194, AUROC score: 0.814
Thresh=0.0020, n=181, Accuracy: 0.867
Thresh=0.0020, n=181, Precision: 0.087
Thresh=0.0020, n=181, Recall: 0.781
Thresh=0.0020, n=181, F1 score: 0.156
Thresh=0.0020, n=181, AUROC score: 0.825
Thresh=0.0021, n=173, Accuracy: 0.877
Thresh=0.0021, n=173, Precision: 0.090
Thresh=0.0021, n=173, Recall: 0.750
Thresh=0.0021, n=173, F1 score: 0.161
Thresh=0.0021, n=173, AUROC score: 0.814
Thresh=0.0022, n=164, Accuracy: 0.873
Thresh=0.0022, n=164, Precision: 0.087
Thresh=0.0022, n=164, Recall: 0.750
Thresh=0.0022, n=164, F1 score: 0.156
Thresh=0.0022, n=164, AUROC score: 0.812
Thresh=0.0023, n=156, Accuracy: 0.872
Thresh=0.0023, n=156, Precision: 0.087
Thresh=0.0023, n=156, Recall: 0.750
Thresh=0.0023, n=156, F1 score: 0.156
Thresh=0.0023, n=156, AUROC score: 0.812
Thresh=0.0024, n=147, Accuracy: 0.871
Thresh=0.0024, n=147, Precision: 0.083
Thresh=0.0024, n=147, Recall: 0.719
Thresh=0.0024, n=147, F1 score: 0.149
Thresh=0.0024, n=147, AUROC score: 0.796
Thresh=0.0025, n=137, Accuracy: 0.859
Thresh=0.0025, n=137, Precision: 0.079
Thresh=0.0025, n=137, Recall: 0.750
Thresh=0.0025, n=137, F1 score: 0.143
Thresh=0.0025, n=137, AUROC score: 0.805
Thresh=0.0026, n=126, Accuracy: 0.846
Thresh=0.0026, n=126, Precision: 0.073
Thresh=0.0026, n=126, Recall: 0.750
Thresh=0.0026, n=126, F1 score: 0.133
Thresh=0.0026, n=126, AUROC score: 0.799
Thresh=0.0027, n=122, Accuracy: 0.843
Thresh=0.0027, n=122, Precision: 0.072
