Feature,N_selected
homeostatic process ,1000
cellular response to stimulus ,1000
NumberAgeRelatedPartners ,1000
response to oxidative stress ,999
UV protection ,997
response to chemical ,997
response to extracellular stimulus ,996
DNA topological change ,993
interleukin-7-mediated signaling pathway ,990
interacts_with_DAND5_HUMAN ,987
regulation of multicellular organismal process ,981
cellular process ,978
positive regulation of metabolic process ,976
regulation of multicellular organism growth ,967
cellular response to hormone stimulus ,966
developmental process involved in reproduction ,963
negative regulation of apoptotic signaling pathway ,963
interacts_with_PARP1_HUMAN ,959
positive regulation of cell death ,940
organelle organization ,939
positive regulation of protein phosphorylation ,939
cellular response to oxidative stress ,935
regulation of protein kinase B signaling ,935
transport ,934
positive regulation of proteolysis ,926
response to stimulus ,924
regulation of cell population proliferation ,924
positive regulation of neuron death ,922
cell-cell signaling ,905
interacts_with_IKKA_HUMAN ,904
interacts_with_RXRA_HUMAN ,901
interacts_with_RB_HUMAN ,900
interacts_with_P85A_HUMAN ,897
lipid metabolic process ,897
transmembrane receptor protein tyrosine kinase signaling pathway ,885
cell cycle phase transition ,879
interacts_with_CADH1_HUMAN ,872
nucleotide-excision repair DNA incision 5'-to lesion ,858
interacts_with_JUN_HUMAN ,849
memory ,844
skeletal system development ,843
interacts_with_HCD2_HUMAN ,836
negative regulation of cell population proliferation ,829
rhythmic process ,826
response to radiation ,825
angiogenesis ,825
interacts_with_CDK2_HUMAN ,823
cellular nitrogen compound metabolic process ,810
apoptotic signaling pathway ,803
interacts_with_IGF1R_HUMAN ,800
interacts_with_MTOR_HUMAN ,797
positive regulation of apoptotic process ,794
interacts_with_MAX_HUMAN ,792
neutral lipid metabolic process ,784
interacts_with_FBW1A_HUMAN ,780
negative regulation of transcription by RNA polymerase II ,771
regulation of tyrosine phosphorylation of STAT protein ,768
regulation of cell cycle ,757
interacts_with_RAD51_HUMAN ,751
regulation of reactive oxygen species metabolic process ,745
interacts_with_CSK2B_HUMAN ,742
regulation of lipid metabolic process ,738
interacts_with_PLK1_HUMAN ,725
negative regulation of cell death ,720
gamete generation ,695
interacts_with_PTN11_HUMAN ,684
interacts_with_PARK7_HUMAN ,684
regulation of phosphatidylinositol 3-kinase signaling ,680
organic cyclic compound metabolic process ,676
response to nutrient ,672
positive regulation of protein-containing complex assembly ,671
metabolic process ,669
interacts_with_SIR1_HUMAN ,668
regulation of growth ,667
interacts_with_HEXI1_HUMAN ,661
regulation of molecular function ,649
interacts_with_DAXX_HUMAN ,645
organic substance metabolic process ,641
interacts_with_ATF2_HUMAN ,639
regulation of apoptotic signaling pathway ,631
primary metabolic process ,624
negative regulation of cellular protein metabolic process ,623
interacts_with_CDC20_HUMAN ,622
positive regulation of growth ,615
interacts_with_CBP_HUMAN ,613
regulation of cytokine production ,606
regulation of biological quality ,605
interacts_with_ZBT7A_HUMAN ,598
