UniprotID,No. Partners
1433B_HUMAN,248
1433E_HUMAN,278
1433F_HUMAN,107
1433G_HUMAN,204
1433S_HUMAN,235
1433T_HUMAN,324
1433Z_HUMAN,326
1A1L1_HUMAN,2
1A1L2_HUMAN,0
2A5A_HUMAN,22
2A5B_HUMAN,5
2A5D_HUMAN,29
2A5E_HUMAN,12
2A5G_HUMAN,21
2AAA_HUMAN,251
2AAB_HUMAN,35
2ABA_HUMAN,57
2ABB_HUMAN,49
2ABD_HUMAN,68
2ABG_HUMAN,43
3BHS1_HUMAN,0
3BHS2_HUMAN,16
3BHS7_HUMAN,52
3BP1_HUMAN,10
3BP2_HUMAN,19
3BP5_HUMAN,11
3BP5L_HUMAN,12
3HAO_HUMAN,1
3HIDH_HUMAN,50
3MG_HUMAN,114
41_HUMAN,19
4EBP1_HUMAN,11
4EBP2_HUMAN,5
4EBP3_HUMAN,2
4ET_HUMAN,28
4F2_HUMAN,13
5HT1A_HUMAN,5
5HT1B_HUMAN,1
5HT1D_HUMAN,2
5HT1E_HUMAN,8
5HT1F_HUMAN,0
5HT2A_HUMAN,5
5HT2B_HUMAN,1
5HT2C_HUMAN,89
5HT3A_HUMAN,101
5HT3B_HUMAN,0
5HT3C_HUMAN,80
5HT3D_HUMAN,3
5HT3E_HUMAN,6
5HT4R_HUMAN,0
5HT5A_HUMAN,0
5HT6R_HUMAN,29
5HT7R_HUMAN,4
5NT1A_HUMAN,1
5NT1B_HUMAN,0
5NT3A_HUMAN,32
5NT3B_HUMAN,0
5NTC_HUMAN,14
5NTD_HUMAN,49
6PGD_HUMAN,29
6PGL_HUMAN,26
7B2_HUMAN,4
8ODP_HUMAN,6
A14EL_HUMAN,0
A16A1_HUMAN,9
A16L1_HUMAN,707
A16L2_HUMAN,2
A1AG1_HUMAN,4
A1AG2_HUMAN,4
A1AT_HUMAN,15
A1ATR_HUMAN,84
A1BG_HUMAN,12
A1CF_HUMAN,14
A2012_HUMAN,0
A20A1_HUMAN,0
A20A2_HUMAN,0
A20A3_HUMAN,0
A20A4_HUMAN,0
A20A5_HUMAN,0
A26L1_HUMAN,3
A2AP_HUMAN,2
A2GL_HUMAN,2
A2MG_HUMAN,68
A2ML1_HUMAN,0
A30BL_HUMAN,0
A3LT2_HUMAN,0
A4_HUMAN,489
A4AS1_HUMAN,0
A4GAT_HUMAN,6
A4GCT_HUMAN,19
A7L3B_HUMAN,5
AA1R_HUMAN,4
AA2AR_HUMAN,9
AA2BR_HUMAN,2
AA3R_HUMAN,10
AAA1_HUMAN,2
AAAD_HUMAN,0
AAAS_HUMAN,1
AAAT_HUMAN,18
AACS_HUMAN,3
AACT_HUMAN,1
AADAT_HUMAN,2
AAGAB_HUMAN,13
AAK1_HUMAN,13
AAKB1_HUMAN,115
AAKB2_HUMAN,160
AAKG1_HUMAN,37
AAKG2_HUMAN,19
AAKG3_HUMAN,12
AAMDC_HUMAN,2
AAMP_HUMAN,20
AAPK1_HUMAN,215
AAPK2_HUMAN,96
AAR2_HUMAN,602
AARD_HUMAN,0
AAS1_HUMAN,0
AASD1_HUMAN,47
AASS_HUMAN,1
AATC_HUMAN,38
AATC2_HUMAN,3
AATF_HUMAN,33
AATM_HUMAN,15
AB12B_HUMAN,1
AB17A_HUMAN,5
AB17B_HUMAN,0
AB17C_HUMAN,0
AB1IP_HUMAN,4
ABC3A_HUMAN,2
ABC3B_HUMAN,1
ABC3C_HUMAN,4
ABC3D_HUMAN,54
ABC3F_HUMAN,0
ABC3G_HUMAN,9
ABC3H_HUMAN,0
ABCA1_HUMAN,19
ABCA2_HUMAN,1
ABCA3_HUMAN,0
ABCA4_HUMAN,1
ABCA5_HUMAN,2
ABCA6_HUMAN,0
ABCA7_HUMAN,0
ABCA8_HUMAN,0
ABCA9_HUMAN,0
ABCAA_HUMAN,0
ABCAB_HUMAN,0
ABCAC_HUMAN,0
ABCAD_HUMAN,3
ABCB5_HUMAN,8
ABCB6_HUMAN,2
ABCB7_HUMAN,20
ABCB9_HUMAN,1
ABCBA_HUMAN,5
ABCBB_HUMAN,5
ABCC8_HUMAN,2
