Feature	Number of times selected
response to chemical 	1000
homeostatic process 	1000
cellular response to stimulus 	1000
NumberAgeRelatedPartners 	1000
UV protection 	999
response to oxidative stress 	998
response to extracellular stimulus 	997
interacts_with_DAND5_HUMAN 	984
regulation of multicellular organism growth 	982
positive regulation of metabolic process 	977
regulation of multicellular organismal process 	975
interleukin-7-mediated signaling pathway 	964
interacts_with_PARP1_HUMAN 	959
negative regulation of apoptotic signaling pathway 	958
response to stimulus 	957
DNA topological change 	957
cellular process 	957
organelle organization 	954
transport 	950
developmental process involved in reproduction 	949
positive regulation of protein phosphorylation 	944
developmental process 	943
positive regulation of cell death 	939
regulation of protein kinase B signaling 	925
negative regulation of cell population proliferation 	924
interacts_with_IKKA_HUMAN 	911
regulation of neuron death 	907
determination of adult lifespan 	891
rhythmic process 	887
interacts_with_RB_HUMAN 	883
cell-cell signaling 	879
positive regulation of neuron death 	876
interacts_with_RXRA_HUMAN 	876
response to radiation 	874
regulation of cell population proliferation 	871
regulation of reactive oxygen species metabolic process 	864
cell cycle phase transition 	864
regulation of cell cycle 	860
interacts_with_SIR1_HUMAN 	848
apoptotic signaling pathway 	846
"nucleotide-excision repair,  DNA incision,  5'-to lesion "	846
transmembrane receptor protein tyrosine kinase signaling pathway 	835
lipid metabolic process 	832
interacts_with_CDK2_HUMAN 	831
regulation of tyrosine phosphorylation of STAT protein 	830
interacts_with_CADH1_HUMAN 	829
interacts_with_RAD51_HUMAN 	829
interacts_with_IGF1R_HUMAN 	826
skeletal system development 	819
organic substance metabolic process 	819
interacts_with_JUN_HUMAN 	817
interacts_with_HCD2_HUMAN 	816
interacts_with_PARK7_HUMAN 	815
negative regulation of transcription by RNA polymerase II 	815
positive regulation of apoptotic process 	814
cellular nitrogen compound metabolic process 	812
interacts_with_P85A_HUMAN 	804
interacts_with_MTOR_HUMAN 	800
positive regulation of proteolysis 	798
gamete generation 	790
response to activity 	772
angiogenesis 	770
neutral lipid metabolic process 	769
memory 	767
negative regulation of cell death 	755
regulation of molecular function 	746
interacts_with_FBW1A_HUMAN 	740
interacts_with_MAX_HUMAN 	738
peptide metabolic process 	724
regulation of mitotic nuclear division 	715
regulation of lipid metabolic process 	705
primary metabolic process 	705
metabolic process 	699
response to gamma radiation 	691
organic cyclic compound metabolic process 	663
response to corticosteroid 	661
interacts_with_DAXX_HUMAN 	655
positive regulation of multicellular organismal process 	650
activation of protein kinase B activity 	647
positive regulation of protein-containing complex assembly 	644
interacts_with_ATF2_HUMAN 	644
interacts_with_CSK2B_HUMAN 	643
global genome nucleotide-excision repair 	638
regulation of apoptotic signaling pathway 	633
regulation of growth 	632
response to temperature stimulus 	630
response to abiotic stimulus 	630
interacts_with_PLK1_HUMAN 	630
interacts_with_KAT5_HUMAN 	628
interacts_with_ZBT7A_HUMAN 	626
interacts_with_CBP_HUMAN 	619
enzyme linked receptor protein signaling pathway 	618
positive regulation of DNA binding 	617
growth hormone receptor signaling pathway 	617
positive regulation of growth 	613
double-strand break repair 	597
response to organic cyclic compound 	596
response to ionizing radiation 	593
interacts_with_SOCS1_HUMAN 	587
regulation of biological quality 	574
circadian rhythm 	566
interacts_with_PIHD1_HUMAN 	560
negative regulation of signal transduction 	548
response to UV 	548
interacts_with_CDC20_HUMAN 	547
regulation of cytokine production 	536
interacts_with_FAF1_HUMAN 	531
interacts_with_NCOA6_HUMAN 	530
interleukin-12-mediated signaling pathway 	519
carbohydrate homeostasis 	518
interacts_with_AKT1_HUMAN 	517
interacts_with_HEXI1_HUMAN 	516
negative regulation of cellular protein metabolic process 	516
interacts_with_CSN5_HUMAN 	511
negative regulation of apoptotic process 	508
interacts_with_VHL_HUMAN 	507
interacts_with_WRN_HUMAN 	507
interacts_with_PTN11_HUMAN 	496
response to metal ion 	495
interacts_with_MET14_HUMAN 	495
protein deacetylation 	486
interacts_with_FBXW7_HUMAN 	485
regulation of phosphatidylinositol 3-kinase signaling 	482
cytokine-mediated signaling pathway 	477
interacts_with_BCL6_HUMAN 	476
interacts_with_WWP2_HUMAN 	473
interacts_with_MDM2_HUMAN 	471
interacts_with_CUL4B_HUMAN 	470
cell junction organization 	466
multicellular organismal process 	464
regulation of Ras protein signal transduction 	458
negative regulation of response to stimulus 	456
interacts_with_NFAC2_HUMAN 	453
regulation of cellular response to oxidative stress 	450
intrinsic apoptotic signaling pathway 	450
interacts_with_CTNB1_HUMAN 	449
regulation of cold-induced thermogenesis 	447
interacts_with_UBP7_HUMAN 	443
response to nutrient 	441
circadian regulation of gene expression 	440
interacts_with_ATM_HUMAN 	438
interacts_with_RUNX1_HUMAN 	437
positive regulation of catalytic activity 	434
vesicle-mediated transport 	432
positive regulation of cellular component organization 	431
G2/M transition of mitotic cell cycle 	428
negative regulation of cell cycle 	425
regulation of developmental process 	425
intracellular signal transduction 	423
chemical homeostasis 	422
intrinsic apoptotic signaling pathway in response to DNA damage 	416
interacts_with_CDK1_HUMAN 	415
interacts_with_TP53B_HUMAN 	415
cellular component organization 	412
interacts_with_ITA4_HUMAN 	411
regulation of neuron apoptotic process 	408
interacts_with_A4_HUMAN 	408
positive regulation of nitrogen compound metabolic process 	405
interacts_with_MERL_HUMAN 	403
cellular response to hormone stimulus 	403
response to endogenous stimulus 	398
cellular response to oxidative stress 	388
negative regulation of neuron death 	387
viral process 	383
interacts_with_ATX3_HUMAN 	382
interacts_with_NKX21_HUMAN 	379
base-excision repair 	374
"nucleotide-excision repair,  preincision complex stabilization "	370
cell cycle arrest 	369
regulation of cellular process 	363
interacts_with_RECQ4_HUMAN 	361
interacts_with_PTEN_HUMAN 	357
